Day,Month,Year,Time,Station,Particle,Reading
26,5,2013,3,Skopje_Karpos,PM10,22.01
26,5,2013,10,Skopje_Lisice,PM10,2.36
30,5,2013,7,Skopje_Karpos,PM10,64.15
21,5,2013,24,Skopje_Centar,PM10,
7,6,2013,13,Skopje_Karpos,PM10,17.28
25,5,2013,20,Skopje_Mrsevci,PM10,
11,6,2013,12,Skopje_Lisice,PM10,26.96
20,5,2013,19,Skopje_Lisice,PM10,98.65
13,6,2013,24,Skopje_Rektorat,PM10,14.31
29,5,2013,1,Skopje_Miladinovci,PM10,27.03
4,6,2013,12,Skopje_Rektorat,PM10,7.43
21,5,2013,9,Skopje_Lisice,PM10,23.63
2,6,2013,11,Skopje_Lisice,PM10,10.96
3,6,2013,6,Skopje_Mrsevci,PM10,
27,5,2013,4,Skopje_Centar,PM10,
30,5,2013,11,Skopje_GaziBaba,PM10,67.04
4,6,2013,4,Skopje_Miladinovci,PM10,18.71
18,5,2013,21,Skopje_Rektorat,PM10,55.67
10,6,2013,2,Skopje_GaziBaba,PM10,42.47
7,6,2013,24,Skopje_Rektorat,PM10,36.85
7,6,2013,22,Skopje_GaziBaba,PM10,79.58
25,5,2013,18,Skopje_Karpos,PM10,16.48
1,6,2013,13,Skopje_Mrsevci,PM10,
12,6,2013,21,Skopje_Miladinovci,PM10,24.94
11,6,2013,5,Skopje_Centar,PM10,
28,5,2013,19,Skopje_Karpos,PM10,27.13
20,5,2013,6,Skopje_Centar,PM10,67.93
1,6,2013,15,Skopje_GaziBaba,PM10,34.85
3,6,2013,7,Skopje_Mrsevci,PM10,
3,6,2013,10,Skopje_GaziBaba,PM10,1.28
10,6,2013,23,Skopje_Lisice,PM10,41.78
22,5,2013,17,Skopje_Rektorat,PM10,79.25
24,5,2013,4,Skopje_Rektorat,PM10,19.18
19,5,2013,10,Skopje_GaziBaba,PM10,1.22
6,6,2013,20,Skopje_GaziBaba,PM10,51.45
2,6,2013,1,Skopje_Mrsevci,PM10,
10,6,2013,21,Skopje_Mrsevci,PM10,
4,6,2013,18,Skopje_Karpos,PM10,14.35
25,5,2013,18,Skopje_Lisice,PM10,9.08
13,6,2013,13,Skopje_Karpos,PM10,18.04
20,5,2013,20,Skopje_GaziBaba,PM10,149.25
30,5,2013,8,Skopje_Centar,PM10,
31,5,2013,9,Skopje_GaziBaba,PM10,67.04
27,5,2013,22,Skopje_Miladinovci,PM10,39.23
19,5,2013,17,Skopje_Rektorat,PM10,31.46
22,5,2013,10,Skopje_Centar,PM10,
3,6,2013,15,Skopje_GaziBaba,PM10,15.26
21,5,2013,5,Skopje_Rektorat,PM10,37.61
30,5,2013,11,Skopje_Rektorat,PM10,57.7
28,5,2013,19,Skopje_Centar,PM10,
22,5,2013,18,Skopje_Lisice,PM10,138.02
5,6,2013,20,Skopje_Centar,PM10,
22,5,2013,21,Skopje_Rektorat,PM10,58.57
7,6,2013,4,Skopje_Centar,PM10,
30,5,2013,2,Skopje_Rektorat,PM10,149.57
11,6,2013,15,Skopje_Rektorat,PM10,163.54
10,6,2013,9,Skopje_Mrsevci,PM10,
8,6,2013,10,Skopje_Miladinovci,PM10,32.68
12,6,2013,18,Skopje_Miladinovci,PM10,21.36
23,5,2013,10,Skopje_Miladinovci,PM10,20.96
9,6,2013,1,Skopje_Karpos,PM10,33.07
8,6,2013,20,Skopje_Rektorat,PM10,28.4
19,5,2013,6,Skopje_Centar,PM10,61.63
25,5,2013,10,Skopje_Rektorat,PM10,19.3
30,5,2013,1,Skopje_Centar,PM10,
19,5,2013,24,Skopje_Centar,PM10,69.87
29,5,2013,5,Skopje_Centar,PM10,
30,5,2013,24,Skopje_Centar,PM10,
11,6,2013,17,Skopje_Rektorat,PM10,58.32
27,5,2013,10,Skopje_Miladinovci,PM10,4.91
7,6,2013,8,Skopje_GaziBaba,PM10,3.19
3,6,2013,16,Skopje_Lisice,PM10,16.23
27,5,2013,13,Skopje_Centar,PM10,
21,5,2013,21,Skopje_GaziBaba,PM10,146.21
5,6,2013,7,Skopje_Mrsevci,PM10,
10,6,2013,4,Skopje_Rektorat,PM10,33.75
20,5,2013,17,Skopje_Karpos,PM10,84.44
1,6,2013,2,Skopje_Miladinovci,PM10,24.49
21,5,2013,5,Skopje_Karpos,PM10,38.85
18,5,2013,22,Skopje_Lisice,PM10,80.19
12,6,2013,5,Skopje_Centar,PM10,
